Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,3,2,2,1,0,0,1,2,...,...,11.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,3,2,2,2,0,0,1,2,...,...,12.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,...,...,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,...,...,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,1,1,...,...,3.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,...,...,0.0
TENTATIVA DE HOMICÍDIO,0,0,1,1,0,1,2,0,1,3,...,...,9.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,...,...,0.0
LESÃO CORPORAL DOLOSA,39,35,46,43,48,37,43,43,45,51,...,...,430.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,8,8,8,4,12,8,14,15,15,...,...,105.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,2,0,0,0,0,0,1,...,...,4.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,...,...,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,...,...,0.0
TOTAL DE ESTUPRO (4),6,5,6,3,3,7,3,6,4,6,...,...,49.0
ESTUPRO,1,1,1,1,1,2,1,1,0,1,...,...,10.0
ESTUPRO DE VULNERÁVEL,5,4,5,2,2,5,2,5,4,5,...,...,39.0
TOTAL DE ROUBO - OUTROS (1),138,125,176,151,153,180,157,166,124,128,...,...,1498.0
ROUBO - OUTROS,136,123,171,149,150,179,156,164,123,127,...,...,1478.0
ROUBO DE VEÍCULO,29,29,36,26,30,37,25,24,28,28,...,...,292.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,...,...,0.0
ROUBO DE CARGA,2,2,5,2,3,1,1,2,1,1,...,...,20.0
FURTO - OUTROS,103,113,132,136,140,124,137,152,149,163,...,...,1349.0
FURTO DE VEÍCULO,13,18,25,14,20,14,16,18,11,28,...,...,177.0
