Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,2,0,0,0,0,0,1,...,...,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,2,0,0,0,0,0,1,...,...,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,1,1,0,0,...,...,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,...,...,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,0,0,0,0,0,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,...,...,0
LESÃO CORPORAL DOLOSA,29,25,42,34,27,24,36,32,24,39,...,...,312
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,3,7,7,10,5,4,9,8,8,...,...,63
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,0,0,0,0,0,0,...,...,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,...,...,0
TOTAL DE ESTUPRO (4),3,4,5,3,5,3,0,2,2,1,...,...,28
ESTUPRO,1,0,3,1,2,1,0,0,0,0,...,...,8
ESTUPRO DE VULNERÁVEL,2,4,2,2,3,2,0,2,2,1,...,...,20
TOTAL DE ROUBO - OUTROS (1),84,56,76,71,98,79,78,77,82,99,...,...,800
ROUBO - OUTROS,84,56,76,71,98,78,77,77,81,99,...,...,797
ROUBO DE VEÍCULO,9,7,15,7,7,15,7,14,12,12,...,...,105
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,...,...,0
ROUBO DE CARGA,0,0,0,0,0,1,1,0,1,0,...,...,3
FURTO - OUTROS,99,64,96,86,140,90,89,98,76,104,...,...,942
FURTO DE VEÍCULO,24,29,23,23,33,27,35,29,30,16,...,...,269
